instrument,level_id,n_valid,n_touched,touch_rate,touch_by_30_rate,touch_by_60_rate,touch_by_120_rate
NQ,lower_N5_ema_k1,1282,1019,0.7948517940717629,0.7074882995319812,0.7589703588143526,0.7948517940717629
NQ,lower_N5_ema_k2,1282,946,0.7379095163806553,0.6232449297971919,0.6887675507020281,0.7379095163806553
NQ,lower_N5_ema_k3,1282,873,0.6809672386895476,0.5444617784711389,0.6177847113884556,0.6809672386895476
NQ,lower_N5_mean_k0,1282,1112,0.8673946957878315,0.8159126365054602,0.8478939157566303,0.8673946957878315
NQ,lower_N5_mean_k1,1282,1017,0.7932917316692668,0.7074882995319812,0.7589703588143526,0.7932917316692668
NQ,lower_N5_mean_k2,1282,943,0.7355694227769111,0.6177847113884556,0.6856474258970359,0.7355694227769111
NQ,lower_N5_mean_k3,1282,869,0.6778471138845554,0.5405616224648986,0.6162246489859594,0.6778471138845554
NQ,lower_N5_median_k0,1282,1129,0.8806552262090483,0.8369734789391575,0.8642745709828393,0.8806552262090483
NQ,lower_N5_median_k1,1282,1030,0.8034321372854915,0.7262090483619345,0.7745709828393136,0.8034321372854915
NQ,lower_N5_median_k2,1282,952,0.7425897035881436,0.6349453978159126,0.6965678627145085,0.7425897035881436
NQ,lower_N5_median_k3,1282,877,0.6840873634945398,0.5499219968798752,0.625585023400936,0.6840873634945398
NQ,upper_N10_ema_k0,1277,1134,0.8880187940485513,0.826938136256852,0.8598277212216131,0.8880187940485513
NQ,upper_N10_ema_k1,1277,1033,0.8089271730618638,0.7055599060297573,0.7619420516836335,0.8089271730618638
NQ,upper_N10_ema_k2,1277,931,0.7290524667188724,0.5943617854346124,0.6664056382145653,0.7290524667188724
NQ,upper_N10_ema_k3,1277,840,0.6577916992952232,0.4980422866092404,0.5794831636648394,0.6577916992952232
NQ,upper_N10_mean_k0,1277,1130,0.884886452623336,0.826938136256852,0.8566953797963978,0.884886452623336
NQ,upper_N10_mean_k1,1277,1031,0.8073610023492561,0.6985121378230227,0.7572435395458105,0.8073610023492561
NQ,upper_N10_mean_k2,1277,923,0.7227877838684417,0.5880971025841817,0.6601409553641346,0.7227877838684417
NQ,upper_N10_mean_k3,1277,838,0.6562255285826155,0.4988253719655442,0.5802662490211433,0.6562255285826155
NQ,upper_N10_median_k0,1277,1145,0.8966327329678935,0.8433829287392326,0.8707909162098669,0.8966327329678935
NQ,upper_N10_median_k1,1277,1045,0.8183241973375098,0.7204385277995301,0.7752545027407988,0.8183241973375098
NQ,upper_N10_median_k2,1277,938,0.7345340642129993,0.6076742364917777,0.6758026624902115,0.7345340642129993
NQ,upper_N10_median_k3,1277,848,0.6640563821456539,0.5066562255285826,0.591229444009397,0.6640563821456539
NQ,upper_N20_ema_k0,1267,1125,0.8879242304656669,0.8271507498026835,0.861878453038674,0.8879242304656669
NQ,upper_N20_ema_k1,1267,1019,0.8042620363062352,0.7071823204419889,0.7624309392265194,0.8042620363062352
NQ,upper_N20_ema_k2,1267,911,0.7190213101815311,0.5816890292028414,0.6566692975532754,0.7190213101815311
NQ,upper_N20_ema_k3,1267,811,0.6400947119179163,0.47671665351223363,0.5682715074980268,0.6400947119179163
NQ,upper_N20_mean_k0,1267,1124,0.8871349644830308,0.8303078137332282,0.8610891870560379,0.8871349644830308
NQ,upper_N20_mean_k1,1267,1018,0.8034727703235991,0.7095501183898973,0.7624309392265194,0.8034727703235991
NQ,upper_N20_mean_k2,1267,909,0.7174427782162589,0.5824782951854776,0.6574585635359116,0.7174427782162589
NQ,upper_N20_mean_k3,1267,812,0.6408839779005525,0.47750591949486976,0.5706393054459353,0.6408839779005525
NQ,upper_N20_median_k0,1267,1135,0.8958168902920284,0.8453038674033149,0.8768745067087609,0.8958168902920284
NQ,upper_N20_median_k1,1267,1037,0.8184688239936859,0.7316495659037096,0.7797947908445146,0.8184688239936859
NQ,upper_N20_median_k2,1267,933,0.7363851617995264,0.6069455406471981,0.6779794790844514,0.7363851617995264
NQ,upper_N20_median_k3,1267,827,0.6527229676400947,0.49329123914759276,0.584846093133386,0.6527229676400947
NQ,upper_N5_ema_k0,1282,1135,0.8853354134165367,0.8221528861154446,0.858034321372855,0.8853354134165367
NQ,upper_N5_ema_k1,1282,1049,0.8182527301092044,0.719188767550702,0.7769110764430577,0.8182527301092044
NQ,upper_N5_ema_k2,1282,955,0.7449297971918877,0.6193447737909517,0.6872074882995319,0.7449297971918877
NQ,upper_N5_ema_k3,1282,854,0.6661466458658346,0.5140405616224649,0.592823712948518,0.6661466458658346
NQ,upper_N5_mean_k0,1282,1141,0.890015600624025,0.8330733229329174,0.8650546021840874,0.890015600624025
NQ,upper_N5_mean_k1,1282,1047,0.8166926677067082,0.7152886115444618,0.7792511700468019,0.8166926677067082
NQ,upper_N5_mean_k2,1282,950,0.7410296411856474,0.6162246489859594,0.6825273010920437,0.7410296411856474
NQ,upper_N5_mean_k3,1282,860,0.6708268330733229,0.5202808112324493,0.6014040561622465,0.6708268330733229
NQ,upper_N5_median_k0,1282,1145,0.8931357254290172,0.8447737909516381,0.874414976599064,0.8931357254290172
NQ,upper_N5_median_k1,1282,1072,0.8361934477379095,0.734009360374415,0.7917316692667706,0.8361934477379095
NQ,upper_N5_median_k2,1282,955,0.7449297971918877,0.6216848673946958,0.6887675507020281,0.7449297971918877
NQ,upper_N5_median_k3,1282,861,0.671606864274571,0.5265210608424337,0.6053042121684867,0.671606864274571
