instrument,level_id,timing_bin,n
ES,lower_N5_ema_k2,MINUTES_6_TO_15,217
ES,lower_N5_ema_k3,BAR_0930,95
ES,lower_N5_ema_k3,MINUTES_16_TO_30,131
ES,lower_N5_ema_k3,MINUTES_2_TO_5,258
ES,lower_N5_ema_k3,MINUTES_31_TO_60,119
ES,lower_N5_ema_k3,MINUTES_61_TO_120,69
ES,lower_N5_ema_k3,MINUTES_6_TO_15,218
ES,lower_N5_mean_k0,BAR_0930,570
ES,lower_N5_mean_k0,MINUTES_16_TO_30,52
ES,lower_N5_mean_k0,MINUTES_2_TO_5,327
ES,lower_N5_mean_k0,MINUTES_31_TO_60,44
ES,lower_N5_mean_k0,MINUTES_61_TO_120,17
ES,lower_N5_mean_k0,MINUTES_6_TO_15,113
ES,lower_N5_mean_k1,BAR_0930,275
ES,lower_N5_mean_k1,MINUTES_16_TO_30,85
ES,lower_N5_mean_k1,MINUTES_2_TO_5,395
ES,lower_N5_mean_k1,MINUTES_31_TO_60,66
ES,lower_N5_mean_k1,MINUTES_61_TO_120,39
ES,lower_N5_mean_k1,MINUTES_6_TO_15,172
ES,lower_N5_mean_k2,BAR_0930,148
ES,lower_N5_mean_k2,MINUTES_16_TO_30,102
ES,lower_N5_mean_k2,MINUTES_2_TO_5,342
ES,lower_N5_mean_k2,MINUTES_31_TO_60,98
ES,lower_N5_mean_k2,MINUTES_61_TO_120,51
ES,lower_N5_mean_k2,MINUTES_6_TO_15,217
ES,lower_N5_mean_k3,BAR_0930,92
ES,lower_N5_mean_k3,MINUTES_16_TO_30,125
ES,lower_N5_mean_k3,MINUTES_2_TO_5,262
ES,lower_N5_mean_k3,MINUTES_31_TO_60,118
ES,lower_N5_mean_k3,MINUTES_61_TO_120,65
ES,lower_N5_mean_k3,MINUTES_6_TO_15,226
ES,lower_N5_median_k0,BAR_0930,694
ES,lower_N5_median_k0,MINUTES_16_TO_30,34
ES,lower_N5_median_k0,MINUTES_2_TO_5,283
ES,lower_N5_median_k0,MINUTES_31_TO_60,41
ES,lower_N5_median_k0,MINUTES_61_TO_120,14
ES,lower_N5_median_k0,MINUTES_6_TO_15,89
ES,lower_N5_median_k1,BAR_0930,319
ES,lower_N5_median_k1,MINUTES_16_TO_30,82
ES,lower_N5_median_k1,MINUTES_2_TO_5,398
ES,lower_N5_median_k1,MINUTES_31_TO_60,63
ES,lower_N5_median_k1,MINUTES_61_TO_120,34
ES,lower_N5_median_k1,MINUTES_6_TO_15,161
ES,lower_N5_median_k2,BAR_0930,160
ES,lower_N5_median_k2,MINUTES_16_TO_30,102
ES,lower_N5_median_k2,MINUTES_2_TO_5,358
ES,lower_N5_median_k2,MINUTES_31_TO_60,97
ES,lower_N5_median_k2,MINUTES_61_TO_120,48
ES,lower_N5_median_k2,MINUTES_6_TO_15,208
ES,lower_N5_median_k3,BAR_0930,99
ES,lower_N5_median_k3,MINUTES_16_TO_30,131
ES,lower_N5_median_k3,MINUTES_2_TO_5,277
ES,lower_N5_median_k3,MINUTES_31_TO_60,110
