instrument,level_id,n_reversal_proxy,n_blast_through_proxy,n_neutral,n_total_touch_bars,n_nonneutral,reversal_rate,blast_through_rate,neutral_rate,reversal_minus_blast_diff,p_raw,q_value,same_bar_classification
NQ,lower_N10_ema_k2,488,439,0,927,927,0.5264293419633226,0.47357065803667747,0.0,0.05285868392664509,0.11485596157513685,0.42946142154181605,SAME_BAR_MIXED
NQ,lower_N10_ema_k3,433,408,0,841,841,0.5148632580261593,0.48513674197384066,0.0,0.029726516052318668,0.40791959943832184,0.7408755270887492,SAME_BAR_MIXED
NQ,lower_N10_mean_k0,579,522,2,1103,1101,0.5249320036264733,0.4732547597461469,0.001813236627379873,0.051677243880326386,0.09142413565838513,0.3718107677374029,SAME_BAR_MIXED
NQ,lower_N10_mean_k1,515,493,0,1008,1008,0.5109126984126984,0.48908730158730157,0.0,0.021825396825396824,0.5083513445262736,0.7693657699826297,SAME_BAR_MIXED
NQ,lower_N10_mean_k2,490,433,0,923,923,0.5308775731310943,0.46912242686890576,0.0,0.06175514626218852,0.0652324421659094,0.31166611257045607,SAME_BAR_MIXED
NQ,lower_N10_mean_k3,424,420,0,844,844,0.5023696682464455,0.4976303317535545,0.0,0.004739336492890996,0.9177612607175345,0.9865933552713496,SAME_BAR_MIXED
NQ,lower_N10_median_k1,519,506,0,1025,1025,0.5063414634146342,0.49365853658536585,0.0,0.012682926829268294,0.707816061715426,0.8822055261960382,SAME_BAR_MIXED
NQ,lower_N10_median_k2,492,445,0,937,937,0.5250800426894343,0.47491995731056563,0.0,0.05016008537886873,0.13285899246391195,0.46920190569201226,SAME_BAR_MIXED
NQ,lower_N10_median_k3,420,436,0,856,856,0.49065420560747663,0.5093457943925234,0.0,-0.018691588785046728,0.6081943743909597,0.8436244548003634,SAME_BAR_MIXED
NQ,lower_N20_ema_k0,587,512,0,1099,1099,0.5341219290263877,0.4658780709736124,0.0,0.06824385805277525,0.025557260994879687,0.16907111119689638,SAME_BAR_MIXED
NQ,lower_N20_ema_k1,511,476,0,987,987,0.5177304964539007,0.48226950354609927,0.0,0.03546099290780142,0.27914258600756064,0.6155451896576978,SAME_BAR_MIXED
NQ,lower_N20_ema_k2,471,436,0,907,907,0.5192943770672547,0.4807056229327453,0.0,0.03858875413450937,0.2589063484566654,0.6012102179151677,SAME_BAR_MIXED
NQ,lower_N20_ema_k3,419,400,0,819,819,0.5115995115995116,0.4884004884004884,0.0,0.0231990231990232,0.529393504665975,0.7693657699826297,SAME_BAR_MIXED
NQ,lower_N20_mean_k0,587,513,0,1100,1100,0.5336363636363637,0.46636363636363637,0.0,0.06727272727272728,0.02768829065497819,0.17008521402343746,SAME_BAR_MIXED
NQ,lower_N20_mean_k1,515,474,0,989,989,0.5207280080889788,0.4792719919110212,0.0,0.041456016177957536,0.20337591960483678,0.530009972303514,SAME_BAR_MIXED
NQ,lower_N20_mean_k2,459,445,0,904,904,0.5077433628318584,0.4922566371681416,0.0,0.015486725663716814,0.6654935212601167,0.8809057314124004,SAME_BAR_MIXED
NQ,lower_N20_mean_k3,405,416,0,821,821,0.4933008526187576,0.5066991473812423,0.0,-0.013398294762484775,0.7271109053982063,0.8933076837749392,SAME_BAR_MIXED
NQ,lower_N20_median_k0,602,500,14,1116,1102,0.5394265232974911,0.44802867383512546,0.012544802867383513,0.0913978494623656,0.002331408250960077,0.050125277395641654,SAME_BAR_MIXED
NQ,lower_N20_median_k1,534,473,0,1007,1007,0.5302879841112215,0.46971201588877853,0.0,0.0605759682224429,0.05860249038657275,0.296459657249721,SAME_BAR_MIXED
NQ,lower_N20_median_k2,456,467,0,923,923,0.49404117009750814,0.5059588299024919,0.0,-0.011917659804983749,0.7420593457978587,0.8988324470227584,SAME_BAR_MIXED
NQ,lower_N20_median_k3,422,414,0,836,836,0.5047846889952153,0.49521531100478466,0.0,0.009569377990430622,0.8087202651400223,0.9032460104161287,SAME_BAR_MIXED
NQ,lower_N5_ema_k0,605,505,1,1111,1110,0.5445544554455446,0.45454545454545453,0.0009000900090009,0.09000900090009001,0.0029467611098564356,0.050684291089530695,SAME_BAR_MIXED
NQ,lower_N5_ema_k1,509,510,0,1019,1019,0.49950932286555444,0.5004906771344455,0.0,-0.0009813542688910696,1.0,1.0,SAME_BAR_MIXED
NQ,lower_N5_ema_k2,483,463,0,946,946,0.5105708245243129,0.4894291754756871,0.0,0.021141649048625793,0.536766816266951,0.7693657699826297,SAME_BAR_MIXED
NQ,lower_N5_ema_k3,459,414,0,873,873,0.5257731958762887,0.4742268041237113,0.0,0.05154639175257732,0.13639590281744543,0.46920190569201226,SAME_BAR_MIXED
NQ,lower_N5_mean_k1,508,509,0,1017,1017,0.4995083579154376,0.5004916420845624,0.0,-0.0009832841691248771,1.0,1.0,SAME_BAR_MIXED
NQ,lower_N5_mean_k2,494,449,0,943,943,0.5238600212089077,0.47613997879109227,0.0,0.04772004241781548,0.15186629057983533,0.4835031224662297,SAME_BAR_MIXED
NQ,lower_N5_mean_k3,455,414,0,869,869,0.523590333716916,0.476409666283084,0.0,0.047180667433831994,0.17477599171831434,0.4848624286379043,SAME_BAR_MIXED
NQ,lower_N5_median_k1,526,504,0,1030,1030,0.5106796116504855,0.4893203883495146,0.0,0.021359223300970873,0.5129150339669435,0.7693657699826297,SAME_BAR_MIXED
NQ,lower_N5_median_k2,498,454,0,952,952,0.523109243697479,0.47689075630252103,0.0,0.046218487394957986,0.16339224101403468,0.4835031224662297,SAME_BAR_MIXED
NQ,lower_N5_median_k3,451,426,0,877,877,0.5142531356898518,0.48574686431014824,0.0,0.028506271379703536,0.41771269589933346,0.7408755270887492,SAME_BAR_MIXED
NQ,upper_N10_ema_k0,533,601,0,1134,1134,0.47001763668430335,0.5299823633156967,0.0,-0.059964726631393295,0.04658603851488895,0.2503999570175281,SAME_BAR_MIXED
NQ,upper_N10_ema_k1,507,526,0,1033,1033,0.49080348499515974,0.5091965150048403,0.0,-0.018393030009680542,0.575470448269403,0.8113189926421092,SAME_BAR_MIXED
NQ,upper_N10_ema_k2,448,483,0,931,931,0.48120300751879697,0.518796992481203,0.0,-0.03759398496240601,0.26513808166319414,0.6012102179151677,SAME_BAR_MIXED
NQ,upper_N10_ema_k3,457,383,0,840,840,0.544047619047619,0.45595238095238094,0.0,0.0880952380952381,0.011732880725551653,0.14414682034249174,SAME_BAR_MIXED
NQ,upper_N10_mean_k0,523,606,1,1130,1129,0.46283185840707963,0.536283185840708,0.0008849557522123894,-0.07345132743362832,0.01463338863001426,0.1464940124305954,SAME_BAR_MIXED
NQ,upper_N10_mean_k1,504,527,0,1031,1031,0.48884578079534435,0.5111542192046556,0.0,-0.02230843840931135,0.4932602089617956,0.7693657699826297,SAME_BAR_MIXED
