instrument,level_id,year,n_valid,n_touched,touch_rate
ES,lower_N5_ema_k0,2018,251,228,0.9083665338645418
ES,lower_N5_ema_k0,2019,258,223,0.8643410852713178
ES,lower_N5_ema_k0,2020,259,225,0.8687258687258688
ES,lower_N5_ema_k0,2021,258,217,0.8410852713178295
ES,lower_N5_ema_k0,2022,258,231,0.8953488372093024
ES,lower_N5_ema_k1,2018,251,210,0.8366533864541833
ES,lower_N5_ema_k1,2019,258,201,0.7790697674418605
ES,lower_N5_ema_k1,2020,259,210,0.8108108108108109
ES,lower_N5_ema_k1,2021,258,195,0.7558139534883721
ES,lower_N5_ema_k1,2022,258,223,0.8643410852713178
ES,lower_N5_ema_k2,2018,251,193,0.7689243027888446
ES,lower_N5_ema_k2,2019,258,186,0.7209302325581395
ES,lower_N5_ema_k2,2020,259,188,0.7258687258687259
ES,lower_N5_ema_k2,2021,258,179,0.6937984496124031
ES,lower_N5_ema_k2,2022,258,213,0.8255813953488372
ES,lower_N5_ema_k3,2018,251,179,0.7131474103585658
ES,lower_N5_ema_k3,2019,258,171,0.6627906976744186
ES,lower_N5_ema_k3,2020,259,168,0.6486486486486487
ES,lower_N5_ema_k3,2021,258,166,0.6434108527131783
ES,lower_N5_ema_k3,2022,258,206,0.7984496124031008
ES,lower_N5_mean_k0,2018,251,227,0.9043824701195219
ES,lower_N5_mean_k0,2019,258,223,0.8643410852713178
