instrument,side,freshness,activation_window,horizon_min,n_observations,n_nontied,rev_minus_brk_first_rate,median_signed_close_atr,binom_p,is_primary,q_value,n_years_ge10,max_year_sign_agreement,effect_pp,classification
ES,upper,PRISTINE,WITHIN_15MIN,30,120,70,0.05,0.0,0.5504125118224712,False,0.7836381524252133,5,2,5.0,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_15MIN,60,120,93,0.025,-0.062269031781226905,0.8358461346314864,False,0.9819730812453826,5,4,2.5,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_30MIN,10,147,40,0.05442176870748299,0.0,0.26818725105476915,False,0.5006162019689024,5,4,5.442176870748299,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_30MIN,15,147,55,0.07482993197278912,0.0,0.1770013647703581,True,0.376407965587597,5,3,7.482993197278912,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_30MIN,30,147,86,0.013605442176870748,0.0,0.91421163708245,False,1.0,5,3,1.3605442176870748,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_30MIN,60,147,116,0.04081632653061224,-0.017094017094017096,0.6426674253796113,False,0.8634745279947916,5,3,4.081632653061225,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_60MIN,10,177,48,0.022598870056497175,0.0,0.6654658120766188,False,0.8803012317234014,5,4,2.2598870056497176,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_60MIN,15,177,68,0.05649717514124294,0.0,0.2749903961710005,False,0.5076745775464625,5,3,5.649717514124294,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_60MIN,30,177,103,0.005649717514124294,0.0,1.0,False,1.0,5,3,0.5649717514124294,MIXED_OR_NULL
ES,upper,PRISTINE,WITHIN_60MIN,60,177,137,0.02824858757062147,-0.034482758620689655,0.732684093591041,False,0.9050803509065801,5,4,2.824858757062147,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10AM_CANDLE,10,111,28,-0.018018018018018018,0.0,0.8505540192127228,False,1.0,5,2,-1.8018018018018018,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10AM_CANDLE,15,111,48,0.0,0.0,1.0,False,1.0,5,3,0.0,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10AM_CANDLE,30,111,70,0.10810810810810811,0.04194260485651214,0.18821620302302766,False,0.5481641045932112,5,3,10.81081081081081,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10AM_CANDLE,60,111,90,0.12612612612612611,0.2084507042253521,0.17024239504607366,False,0.529643006810007,5,5,12.612612612612612,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_5MIN,5,202,23,0.0049504950495049506,0.0,1.0,False,1.0,5,3,0.49504950495049505,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_5MIN,10,202,49,-0.0049504950495049506,0.0,1.0,False,1.0,5,3,-0.49504950495049505,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_5MIN,15,202,84,-0.009900990099009901,0.0,0.9132023622245978,False,1.0,5,2,-0.9900990099009901,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_5MIN,30,202,129,0.04455445544554455,0.03287606433301797,0.4813541052575654,False,0.8985276631474555,5,3,4.455445544554455,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_5MIN,60,202,167,0.054455445544554455,0.11688622754491018,0.4391289287803372,False,0.8626909207750459,5,4,5.445544554455446,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10MIN,5,259,28,0.015444015444015444,0.0,0.5715881884098053,False,0.9602681565284729,5,4,1.5444015444015444,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10MIN,10,259,63,0.011583011583011582,0.0,0.8013064925040663,False,1.0,5,3,1.1583011583011582,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10MIN,15,259,107,0.02702702702702703,0.0,0.5620926850537901,False,0.9602681565284729,5,2,2.7027027027027026,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10MIN,30,259,168,0.08494208494208494,0.0625,0.10491191481478213,False,0.41135421668489774,5,3,8.494208494208493,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_10MIN,60,259,216,0.09266409266409266,0.12,0.11738910292726175,False,0.4287254193865212,5,5,9.266409266409266,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_15MIN,3,304,20,0.006578947368421052,0.0,0.8238029479980469,False,1.0,5,3,0.6578947368421052,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_15MIN,5,304,36,0.019736842105263157,0.0,0.4050322461407632,False,0.8626909207750459,5,5,1.9736842105263157,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_15MIN,10,304,80,0.006578947368421052,0.0,0.9110721212260928,False,1.0,5,3,0.6578947368421052,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_15MIN,15,304,126,0.02631578947368421,0.0,0.5330527502675568,False,0.9526900217547825,5,3,2.631578947368421,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_15MIN,30,304,198,0.07894736842105263,0.06797480620155039,0.10190435445178207,False,0.41135421668489774,5,4,7.894736842105263,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_15MIN,60,304,259,0.08881578947368421,0.07081381733021078,0.10600805049742434,False,0.41135421668489774,5,3,8.881578947368421,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_30MIN,3,359,22,0.005571030640668524,0.00404040404040404,0.8318119049072266,False,1.0,5,3,0.5571030640668524,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_30MIN,5,359,40,0.016713091922005572,0.0,0.42959050784338615,False,0.8626909207750459,5,5,1.6713091922005572,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_30MIN,10,359,94,0.011142061281337047,0.0,0.7571890741424058,False,1.0,5,3,1.1142061281337048,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_30MIN,15,359,149,0.036211699164345405,0.0,0.3255803804994353,True,0.7391554584311504,5,3,3.6211699164345403,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_30MIN,30,359,233,0.07520891364902507,0.054474708171206226,0.08829195728867756,False,0.41135421668489774,5,4,7.520891364902507,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_30MIN,60,359,304,0.08356545961002786,0.07377049180327869,0.09609834824352638,False,0.41135421668489774,5,4,8.356545961002785,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_60MIN,3,424,23,0.007075471698113208,0.00568314726209463,0.6776394844055176,False,0.9956896551724138,5,3,0.7075471698113208,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_60MIN,5,424,44,0.018867924528301886,0.0,0.2912152365458951,False,0.689072672390287,5,5,1.8867924528301887,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_60MIN,10,424,104,0.018867924528301886,0.0,0.49264506648650236,False,0.8996127301057869,5,4,1.8867924528301887,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_60MIN,15,424,163,0.030660377358490566,0.0014947683109118087,0.34729320909675926,False,0.7779367883767407,5,3,3.0660377358490565,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_60MIN,30,424,266,0.07075471698113207,0.05580878265703168,0.07518875431976348,False,0.3760986328125,5,4,7.0754716981132075,MIXED_OR_NULL
NQ,lower,PRETOUCHED,WITHIN_60MIN,60,424,360,0.07547169811320754,0.08968790218790218,0.10215907217867466,False,0.41135421668489774,5,4,7.547169811320755,MIXED_OR_NULL
NQ,lower,PRISTINE,WITHIN_10AM_CANDLE,15,65,28,0.06153846153846154,0.0,0.5715881884098053,False,0.9602681565284729,3,3,6.153846153846154,MIXED_OR_NULL
NQ,lower,PRISTINE,WITHIN_10AM_CANDLE,30,65,42,0.09230769230769231,0.0,0.44079906734259566,False,0.8626909207750459,3,2,9.230769230769232,MIXED_OR_NULL
NQ,lower,PRISTINE,WITHIN_10AM_CANDLE,60,65,56,0.0,-0.1619047619047619,1.0,False,1.0,3,3,0.0,MIXED_OR_NULL
NQ,lower,PRISTINE,WITHIN_5MIN,10,102,27,-0.029411764705882353,0.0,0.7011080384254456,False,0.9981877157243632,5,3,-2.941176470588235,MIXED_OR_NULL
