instrument,level_id,arm,horizon,label_tau1.0,n
ES,mult_U_1.5,REAL,10,REJECTION,375
ES,mult_U_1.5,REAL,15,CONTINUATION,390
ES,mult_U_1.5,REAL,15,INCONCLUSIVE,171
ES,mult_U_1.5,REAL,15,REJECTION,389
ES,mult_U_1.5,SYNTHETIC,1,CONTINUATION,213
ES,mult_U_1.5,SYNTHETIC,1,INCONCLUSIVE,467
ES,mult_U_1.5,SYNTHETIC,1,REJECTION,220
ES,mult_U_1.5,SYNTHETIC,3,CONTINUATION,300
ES,mult_U_1.5,SYNTHETIC,3,INCONCLUSIVE,314
ES,mult_U_1.5,SYNTHETIC,3,REJECTION,286
ES,mult_U_1.5,SYNTHETIC,5,CONTINUATION,320
ES,mult_U_1.5,SYNTHETIC,5,INCONCLUSIVE,256
ES,mult_U_1.5,SYNTHETIC,5,REJECTION,324
ES,mult_U_1.5,SYNTHETIC,10,CONTINUATION,337
ES,mult_U_1.5,SYNTHETIC,10,INCONCLUSIVE,221
ES,mult_U_1.5,SYNTHETIC,10,REJECTION,342
ES,mult_U_1.5,SYNTHETIC,15,CONTINUATION,362
ES,mult_U_1.5,SYNTHETIC,15,INCONCLUSIVE,188
ES,mult_U_1.5,SYNTHETIC,15,REJECTION,350
ES,mult_U_2.0,REAL,1,CONTINUATION,192
ES,mult_U_2.0,REAL,1,INCONCLUSIVE,452
ES,mult_U_2.0,REAL,1,REJECTION,218
ES,mult_U_2.0,REAL,3,CONTINUATION,284
ES,mult_U_2.0,REAL,3,INCONCLUSIVE,291
ES,mult_U_2.0,REAL,3,REJECTION,287
ES,mult_U_2.0,REAL,5,CONTINUATION,311
ES,mult_U_2.0,REAL,5,INCONCLUSIVE,232
ES,mult_U_2.0,REAL,5,REJECTION,319
ES,mult_U_2.0,REAL,10,CONTINUATION,329
ES,mult_U_2.0,REAL,10,INCONCLUSIVE,203
ES,mult_U_2.0,REAL,10,REJECTION,330
ES,mult_U_2.0,REAL,15,CONTINUATION,347
ES,mult_U_2.0,REAL,15,INCONCLUSIVE,177
