instrument,level_id,outcome_name,horizon,n_real,n_synth,status,p_raw,real_rate,synth_rate,p_bh
NQ,mad_U_1.5,directional_close_recross,10,999,1002,tested,0.6191615899668055,0.4314314314314314,0.42015968063872255,1.0
NQ,mad_U_1.5,directional_close_recross,15,999,1002,tested,0.9643472721069999,0.5045045045045045,0.5059880239520959,0.9904107118936755
NQ,mad_U_2.0,directional_close_recross,1,931,929,tested,1.0,0.0,0.0,1.0
NQ,mad_U_2.0,directional_close_recross,3,931,929,tested,0.8581806404063073,0.18796992481203006,0.18406889128094725,1.0
NQ,mad_U_2.0,directional_close_recross,5,931,929,tested,0.7230664672709186,0.3029001074113856,0.294940796555436,1.0
NQ,mad_U_2.0,directional_close_recross,10,931,929,tested,1.0,0.4317937701396348,0.4316469321851453,1.0
NQ,mad_U_2.0,directional_close_recross,15,931,929,tested,0.8167475915451445,0.5123523093447906,0.5177610333692142,0.9904107118936755
NQ,mult_D_0.5,directional_close_recross,1,1121,1077,tested,1.0,0.0,0.0,1.0
NQ,mult_D_0.5,directional_close_recross,3,1121,1077,tested,0.49722219472832574,0.16592328278322926,0.17734447539461468,1.0
NQ,mult_D_0.5,directional_close_recross,5,1121,1077,tested,0.6327340803050829,0.2694023193577163,0.2785515320334262,1.0
NQ,mult_D_0.5,directional_close_recross,10,1121,1077,tested,0.5428381375633331,0.39785905441570024,0.4113277623026927,1.0
NQ,mult_D_0.5,directional_close_recross,15,1121,1077,tested,0.4175282741661287,0.47814451382694023,0.4958217270194986,0.9904107118936755
NQ,mult_D_1.0,directional_close_recross,1,1037,982,tested,1.0,0.0,0.0,1.0
NQ,mult_D_1.0,directional_close_recross,3,1037,982,tested,0.768598228130454,0.1755062680810029,0.17006109979633402,1.0
NQ,mult_D_1.0,directional_close_recross,5,1037,982,tested,0.9602095372912363,0.2729026036644166,0.2739307535641548,1.0
NQ,mult_D_1.0,directional_close_recross,10,1037,982,tested,0.6200597237732413,0.4146576663452266,0.4256619144602851,1.0
NQ,mult_D_1.0,directional_close_recross,15,1037,982,tested,0.4761934378309159,0.49758919961427195,0.5142566191446029,0.9904107118936755
NQ,mult_D_1.5,directional_close_recross,1,946,906,tested,1.0,0.0,0.0,1.0
NQ,mult_D_1.5,directional_close_recross,3,946,906,tested,0.4662406786961253,0.17124735729386892,0.18432671081677704,1.0
